Month,ID,Property Name,Reporting Status,Address,ZIP Code,Chicago Energy Rating,Exempt From Chicago Energy Rating,Community Area,Primary Property Type,Gross Floor Area - Buildings (sq ft),Year Built,# of Buildings,ENERGY STAR Score,Electricity Use (kBtu),Natural Gas Use (kBtu),Site EUI (kBtu/sq ft),Source EUI (kBtu/sq ft),Weather Normalized Site EUI (kBtu/sq ft),Weather Normalized Source EUI (kBtu/sq ft),Total GHG Emissions (Metric Tons CO2e),GHG Intensity (kg CO2e/sq ft),Latitude,Longitude,Location,Gross Floor Area - Buildings (sq ft)_log,Gross Floor Area - Buildings (sq ft)_sqrt,# of Buildings_log,# of Buildings_sqrt,Electricity Use (kBtu)_log,Electricity Use (kBtu)_sqrt,Natural Gas Use (kBtu)_log,Natural Gas Use (kBtu)_sqrt,Site EUI (kBtu/sq ft)_log,Site EUI (kBtu/sq ft)_sqrt,Source EUI (kBtu/sq ft)_log,Source EUI (kBtu/sq ft)_sqrt,Weather Normalized Site EUI (kBtu/sq ft)_log,Weather Normalized Site EUI (kBtu/sq ft)_sqrt,Weather Normalized Source EUI (kBtu/sq ft)_log,Weather Normalized Source EUI (kBtu/sq ft)_sqrt,Total GHG Emissions (Metric Tons CO2e)_log,Total GHG Emissions (Metric Tons CO2e)_sqrt,GHG Intensity (kg CO2e/sq ft)_sqrt,Reporting Status_Not Submitted,Reporting Status_Submitted Data
Jan,252064,Mansueto Library,Submitted Data,1100 E 57th St,60637.0,2.0,False,HYDE PARK,Library,64028.0,2009.0,1.0,42.0,2384738.9,3189209.94,240.8,323.6,246.0,329.9,1160.9,18.1,41.79221307,-87.59994981,"(41.79221307, -87.59994981)",11.067091384711677,253.0375466210499,0.6931471805599453,1.0,14.6846006197537,1544.2599845880875,14.975284089931948,1785.8359219144406,5.488110938180692,15.517731793016658,5.782593655080491,17.988885457415087,5.5093883366279774,15.684387141358123,5.801816214927566,18.16314950662467,7.057811875188817,34.07198262502492,4.254409477236529,False,True
Jan,232458,Harper Square Cooperative,Submitted Data,4800 - 4850 S Lake Park Ave,60615.0,1.0,False,KENWOOD,Multifamily Housing,627680.0,1974.0,1.0,22.0,16397682.8,43537490.6,95.5,146.0,100.3,150.7,4871.7,7.8,41.80747487,-87.59126397,"(41.80747487, -87.59126397)",13.349787354610603,792.2625827337803,0.6931471805599453,1.0,16.612650651112972,4049.4052402791203,17.58913300071925,6598.294522071594,4.56954300834494,9.772410142846033,4.990432586778736,12.083045973594572,4.618086411254637,10.014988766843425,5.021904886354487,12.275992831539126,8.491403477229934,69.79756442742111,2.792848008753788,False,True
Jan,254616,Former Coyne College,Submitted Data,330 N Green St,60607.0,2.0,False,NEAR WEST SIDE,Office,555524.0,2019.0,1.0,49.0,28606427.7,2199940.1,55.5,148.3,56.7,151.8,4581.4,8.2,41.873335,-87.65102071,"(41.873335, -87.65102071)",13.2276688915496,745.3348240891472,0.6931471805599453,1.0,17.169142030251184,5348.497704963516,14.603941145242876,1483.2195049958048,4.034240638152395,7.44983221287567,5.005957704545144,12.177848742696717,4.055257173514054,7.52994023880668,5.02912987673242,12.320714265009151,8.429978157326271,67.6860399196171,2.8635642126552705,False,True
Jan,103812,400 W Superior St,Submitted Data,400 W Superior St,60654.0,3.0,False,NEAR NORTH SIDE,Office,130007.0,1998.0,1.0,61.0,6489281.3,1493523.2,61.4,151.8,63.0,154.8,1092.1,8.4,41.89575232,-87.638901,"(41.89575232, -87.638901)",11.775351266005844,360.5648346691618,0.6931471805599453,1.0,15.685662497049066,2547.4067794523903,14.216649120055736,1222.097868421347,4.133565275375382,7.835815209663893,5.02912987673242,12.320714265009151,4.1588830833596715,7.937253933193772,5.048573133436648,12.441864811996632,6.996772975299789,33.04693631791002,2.898275349237888,False,True
Jan,254073,Blue Moon Lofts,Submitted Data,215 N. Aberdeen St.,60607.0,4.0,False,NEAR WEST SIDE,Multifamily Housing,83000.0,1908.0,1.0,100.0,1614582.3,825006.6,29.4,64.9,29.6,64.3,295.8,3.6,41.87429514,-87.65017516,"(41.87429514, -87.65017516)",11.326607934898927,288.09720581775866,0.6931471805599453,1.0,14.294587462770522,1270.6621502193257,13.6231478773956,908.2987394024061,3.414442608412176,5.422176684690384,4.188138441508461,8.056053624449133,3.4210000089583352,5.440588203494177,4.178992036282385,8.018728078691781,5.693058511293225,17.198837169994952,1.8973665961010275,False,True
Jan,254385,"Ambulatory Care Center, St. Bernard Hospital",Submitted Data,6307 S STEWART AVE,60621.0,2.5,False,Englewood,Medical Office,98018.0,2016.0,1.0,59.0,4204723.5,2236782.3,96.7,211.9,98.0,212.8,775.0,11.6,41.77391183,-87.63872071,"(41.77391183, -87.63872071)",11.492916616411906,313.0782649753892,0.6931471805599453,1.0,15.251719332001459,2050.5422453585297,14.620549364970868,1495.5876102722968,4.581901559048737,9.833615815151617,5.360822571899434,14.55678535941229,4.59511985013459,9.899494936611665,5.365040998590945,14.587666023048376,6.654152520183219,27.83882181415011,3.40587727318528,False,True
Jan,160214,Children's Memorial Hospital sub-building,Not Submitted,700 W Fullerton Ave,60614.0,0.0,False,LINCOLN PARK,Multifamily Housing,257400.0,1947.8,1.0,63.8,6083877.5,13870838.62,80.8,128.64000000000001,84.56,132.24,1686.2599999999998,6.859999999999999,41.92548708,-87.64643712,"(41.92548708, -87.64643712)",12.458390459140501,507.34603575863287,0.6931471805599453,1.0,15.621152961747708,2466.5517428183016,16.445299325426404,3724.3574774717854,4.404277243608702,8.988882021697693,4.8647613782733465,11.341957503006261,4.449217884214205,9.19565114605812,4.892152013325479,11.499565209172042,7.4308611904099235,41.0640962399028,2.619160170741759,True,False
Jan,103745,Bricktown Square,Submitted Data,900 North Michigan,60611.0,0.0,True,NEAR NORTH SIDE,Mixed Use Property,2731896.0,1989.0,1.0,70.2,123364979.3,29220664.4,71.4,176.0,74.5,184.0,20805.5,9.7,41.89920885,-87.62650606,"(41.89920885, -87.62650606)",14.82050679764439,1652.844820302257,0.6931471805599453,1.0,18.630657839046076,11106.978855656474,17.19038673610147,5405.61415567186,4.282206299391671,8.449852069711044,5.176149732573829,13.2664991614216,4.324132656254979,8.631338250816034,5.220355825078325,13.564659966250536,9.943020716871455,144.24111757747858,3.1144823004794873,False,True
Jan,157607,Hilliard Homes Limited Partnership (Senior),Submitted Data,2111 S Clark Ave,60616.0,3.5,False,NEAR SOUTH SIDE,Multifamily Housing,311326.0,1966.0,2.0,75.0,4993793.0,15777294.8,80.1,117.8,82.9,120.3,1617.4,6.2,41.853983,-87.630083,"(41.853983, -87.630083)",12.648599085723536,557.965948781823,1.0986122886681096,1.4142135623730951,15.423706499471672,2234.679619095319,16.574082489875394,3972.0642995802573,4.395682961121367,8.949860334105779,4.777441406928545,10.853570840972107,4.429625613473161,9.10494371207203,4.798266815950004,10.96813566655701,7.389193285853536,40.21691186553239,2.4899799195977463,False,True
Jan,254329,901 South Plymouth Condominium Association,Submitted Data,901 S Plymouth Ct,60605.0,3.5,False,Loop,Multifamily Housing,199600.0,1979.0,1.0,58.0,5821462.7,4643106.7,64.7,131.0,68.7,139.8,1155.2,7.1,41.8682103,-87.62733,"(41.8682103, -87.62733)",12.20407565286699,446.7661580737735,0.6931471805599453,1.0,15.577062282933454,2412.7707516463306,15.350894462942378,2154.786926821304,4.185098925490565,8.043631020876083,4.882801922586371,11.445523142259598,4.244200317766478,8.28854631404084,4.947340443723942,11.823705003085962,7.052894044648376,33.988233257996804,2.6645825188948455,False,True
