Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species,SepalLengthCm_log,SepalLengthCm_sqrt,SepalWidthCm_log,SepalWidthCm_sqrt,PetalLengthCm_log,PetalLengthCm_sqrt,PetalWidthCm_log,PetalWidthCm_sqrt,Species_Iris-versicolor,Species_Iris-virginica
1,0.5,0.3,1.4,0.2,Iris-setosa,0.4054651081081644,0.7071067811865476,0.26236426446749106,0.5477225575051661,0.8754687373538999,1.1832159566199232,0.18232155679395462,0.4472135954999579,False,False
2,4.9,3.0,1.4,0.2,Iris-setosa,1.7749523509116738,2.2135943621178655,1.3862943611198906,1.7320508075688772,0.8754687373538999,1.1832159566199232,0.18232155679395462,0.4472135954999579,False,False
3,4.7,3.2,1.3,0.2,Iris-setosa,1.7404661748405044,2.16794833886788,1.4350845252893227,1.7888543819998317,0.832909122935104,1.140175425099138,0.18232155679395462,0.4472135954999579,False,False
4,4.6,3.3200000000000003,1.5,0.2,Iris-setosa,1.7227665977411035,2.1447610589527217,1.463255402256019,1.8220867158288598,0.9162907318741551,1.224744871391589,0.18232155679395462,0.4472135954999579,False,False
5,5.0,3.6,1.4,0.2,Iris-setosa,1.791759469228055,2.23606797749979,1.5260563034950494,1.8973665961010275,0.8754687373538999,1.1832159566199232,0.18232155679395462,0.4472135954999579,False,False
6,4.5,3.9,1.7,50.4,Iris-setosa,1.7047480922384253,2.1213203435596424,1.589235205116581,1.9748417658131499,0.9932517730102834,1.3038404810405297,3.9396381724611196,7.0992957397195395,False,False
7,1.6,3.4,1.4,0.3,Iris-setosa,0.9555114450274365,1.2649110640673518,1.4816045409242156,1.8439088914585775,0.8754687373538999,1.1832159566199232,0.26236426446749106,0.5477225575051661,False,False
8,5.0,3.4,1.5,0.2,Iris-setosa,1.791759469228055,2.23606797749979,1.4816045409242156,1.8439088914585775,0.9162907318741551,1.224744871391589,0.18232155679395462,0.4472135954999579,False,False
9,4.4,2.9,1.4,0.2,Iris-setosa,1.6863989535702286,2.0976176963403033,1.3609765531356006,1.70293863659264,0.8754687373538999,1.1832159566199232,0.18232155679395462,0.4472135954999579,False,False
10,4.9,3.1,1.5,0.1,Iris-setosa,1.7749523509116738,2.2135943621178655,1.410986973710262,1.760681686165901,0.9162907318741551,1.224744871391589,0.09531017980432487,0.31622776601683794,False,False
11,5.4,3.7,1.5,0.14,Iris-setosa,1.8562979903656263,2.32379000772445,1.547562508716013,1.9235384061671346,0.9162907318741551,1.224744871391589,0.1310282624064041,0.37416573867739417,False,False
12,4.8,33.4,1.6,0.2,Iris-setosa,1.7578579175523736,2.1908902300206643,3.5380565643793527,5.779273310719955,0.9555114450274365,1.2649110640673518,0.18232155679395462,0.4472135954999579,False,False
13,4.8,3.0,1.4,0.1,Iris-setosa,1.7578579175523736,2.1908902300206643,1.3862943611198906,1.7320508075688772,0.8754687373538999,1.1832159566199232,0.09531017980432487,0.31622776601683794,False,False
14,4.3,3.0,0.1,0.1,Iris-setosa,1.667706820558076,2.073644135332772,1.3862943611198906,1.7320508075688772,0.09531017980432487,0.31622776601683794,0.09531017980432487,0.31622776601683794,False,False
15,5.8,4.0,1.2,0.2,Iris-setosa,1.916922612182061,2.4083189157584592,1.6094379124341003,2.0,0.7884573603642702,1.0954451150103321,0.18232155679395462,0.4472135954999579,False,False
16,5.7,4.4,1.5,0.4,Iris-setosa,1.9021075263969205,2.3874672772626644,1.6863989535702286,2.0976176963403033,0.9162907318741551,1.224744871391589,0.33647223662121295,0.6324555320336759,False,False
17,5.4,3.9,1.3,0.4,Iris-setosa,1.8562979903656263,2.32379000772445,1.589235205116581,1.9748417658131499,0.832909122935104,1.140175425099138,0.33647223662121295,0.6324555320336759,False,False
18,5.1,3.8600000000000003,1.4,0.3,Iris-setosa,1.8082887711792655,2.258317958127243,1.5810384379124025,1.9646882704388502,0.8754687373538999,1.1832159566199232,0.26236426446749106,0.5477225575051661,False,False
19,5.7,3.8,1.7,0.3,Iris-setosa,1.9021075263969205,2.3874672772626644,1.5686159179138452,1.9493588689617927,0.9932517730102834,1.3038404810405297,0.26236426446749106,0.5477225575051661,False,False
20,5.1,3.8,1.5,0.3,Iris-setosa,1.8082887711792655,2.258317958127243,1.5686159179138452,1.9493588689617927,0.9162907318741551,1.224744871391589,0.26236426446749106,0.5477225575051661,False,False
21,5.4,3.4,1.7,0.2,Iris-setosa,1.8562979903656263,2.32379000772445,1.4816045409242156,1.8439088914585775,0.9932517730102834,1.3038404810405297,0.18232155679395462,0.4472135954999579,False,False
22,5.1,3.7,1.5,0.4,Iris-setosa,1.8082887711792655,2.258317958127243,1.547562508716013,1.9235384061671346,0.9162907318741551,1.224744871391589,0.33647223662121295,0.6324555320336759,False,False
23,4.6,3.6,1.0,0.2,Iris-setosa,1.7227665977411035,2.1447610589527217,1.5260563034950494,1.8973665961010275,0.6931471805599453,1.0,0.18232155679395462,0.4472135954999579,False,False
24,5.1,3.3,1.7,0.5,Iris-setosa,1.8082887711792655,2.258317958127243,1.4586150226995167,1.816590212458495,0.9932517730102834,1.3038404810405297,0.4054651081081644,0.7071067811865476,False,False
25,4.8,3.4,1.9,0.2,Iris-setosa,1.7578579175523736,2.1908902300206643,1.4816045409242156,1.8439088914585775,1.0647107369924282,1.378404875209022,0.18232155679395462,0.4472135954999579,False,False
26,5.0,3.0,1.6,0.2,Iris-setosa,1.791759469228055,2.23606797749979,1.3862943611198906,1.7320508075688772,0.9555114450274365,1.2649110640673518,0.18232155679395462,0.4472135954999579,False,False
27,5.0,3.4,1.6,0.4,Iris-setosa,1.791759469228055,2.23606797749979,1.4816045409242156,1.8439088914585775,0.9555114450274365,1.2649110640673518,0.33647223662121295,0.6324555320336759,False,False
28,5.2,3.5,1.5,0.2,Iris-setosa,1.8245492920510458,2.280350850198276,1.5040773967762742,1.8708286933869707,0.9162907318741551,1.224744871391589,0.18232155679395462,0.4472135954999579,False,False
29,5.2,3.4,1.4,0.2,Iris-setosa,1.8245492920510458,2.280350850198276,1.4816045409242156,1.8439088914585775,0.8754687373538999,1.1832159566199232,0.18232155679395462,0.4472135954999579,False,False
30,4.7,3.2,1.6,0.2,Iris-setosa,1.7404661748405044,2.16794833886788,1.4350845252893227,1.7888543819998317,0.9555114450274365,1.2649110640673518,0.18232155679395462,0.4472135954999579,False,False
31,4.8,3.1,1.6,0.2,Iris-setosa,1.7578579175523736,2.1908902300206643,1.410986973710262,1.760681686165901,0.9555114450274365,1.2649110640673518,0.18232155679395462,0.4472135954999579,False,False
